/Users/gexin/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
2026-03-02 09:43:24,375 - __main__ - INFO -   - 检查 600519.SS 的舆情...
2026-03-02 09:43:24,375 - __main__ - INFO -   - 检查 AAPL 的舆情...
2026-03-02 09:43:24,375 - __main__ - INFO -   - 检查 MSFT 的舆情...
2026-03-02 09:43:24,375 - __main__ - INFO -   - 检查 000001.SZ 的舆情...
2026-03-02 09:43:24,375 - __main__ - INFO -   - 检查 TSLA 的舆情...
2026-03-02 09:43:24,375 - __main__ - INFO -   - 检查 GOOGL 的舆情...
2026-03-02 09:43:24,375 - __main__ - INFO -   - 检查 NVDA 的舆情...
2026-03-02 09:43:24,375 - __main__ - INFO -   - 检查 300750.SZ 的舆情...
2026-03-02 09:43:24,376 - __main__ - INFO - 本轮检查完成，300秒后继续...
2026-03-02 09:48:24,516 - __main__ - INFO - [2026-03-02 09:48:24] 开始舆情数据采集...
2026-03-02 09:48:24,518 - __main__ - INFO -   - 检查 600519.SS 的舆情...
2026-03-02 09:48:24,518 - __main__ - INFO -   - 检查 AAPL 的舆情...
2026-03-02 09:48:24,518 - __main__ - INFO -   - 检查 MSFT 的舆情...
2026-03-02 09:48:24,518 - __main__ - INFO -   - 检查 000001.SZ 的舆情...
2026-03-02 09:48:24,518 - __main__ - INFO -   - 检查 TSLA 的舆情...
2026-03-02 09:48:24,518 - __main__ - INFO -   - 检查 GOOGL 的舆情...
2026-03-02 09:48:24,518 - __main__ - INFO -   - 检查 NVDA 的舆情...
2026-03-02 09:48:24,518 - __main__ - INFO -   - 检查 300750.SZ 的舆情...
2026-03-02 09:48:24,518 - __main__ - INFO - 本轮检查完成，300秒后继续...
2026-03-02 09:53:24,536 - __main__ - INFO - [2026-03-02 09:53:24] 开始舆情数据采集...
2026-03-02 09:53:24,538 - __main__ - INFO -   - 检查 600519.SS 的舆情...
2026-03-02 09:53:24,538 - __main__ - INFO -   - 检查 AAPL 的舆情...
2026-03-02 09:53:24,538 - __main__ - INFO -   - 检查 MSFT 的舆情...
2026-03-02 09:53:24,538 - __main__ - INFO -   - 检查 000001.SZ 的舆情...
2026-03-02 09:53:24,538 - __main__ - INFO -   - 检查 TSLA 的舆情...
2026-03-02 09:53:24,538 - __main__ - INFO -   - 检查 GOOGL 的舆情...
2026-03-02 09:53:24,538 - __main__ - INFO -   - 检查 NVDA 的舆情...
2026-03-02 09:53:24,538 - __main__ - INFO -   - 检查 300750.SZ 的舆情...
2026-03-02 09:53:24,538 - __main__ - INFO - 本轮检查完成，300秒后继续...
